,symbol,isin,close,ema_20,ema_50,period_high,period_low,volume,avg_volume_50d,volume_ratio,price_drop_pct
392,ENIL,INE265F01028,132.85,136.73209346955338,138.67712131773592,163.6,121.0,17585,35042.9,0.5018134914633207,18.795843520782395
393,ENGINERSIN,INE510A01028,178.65,174.2887056505485,168.6203004011422,187.47,142.2,2686915,4394370.76,0.6114447657575439,4.704752760441667
394,ENTERO,INE010601016,1314.5,1280.2693801346816,1265.5693434897291,1425.0,1080.0,75569,66398.88,1.138106546375481,7.754385964912281
395,EPACK,INE0G5901015,354.3,374.02657453032543,386.792576897331,421.35,325.15,455334,702716.58,0.6479625114295724,15.913136347454612
396,ERIS,INE406M01024,1432.1,1408.2314451768284,1353.5648475797307,1521.8,1097.2,107682,159523.76,0.6750217020962895,5.894335655145226
397,EPL,INE255A01020,189.24,195.28422904235646,203.08936393545326,261.37,175.28,1136463,859639.24,1.322023178001972,27.596893293032863
398,ESAFSFB,INE818W01011,29.2,29.053992847419785,29.60267876630957,32.94,24.31,385059,960514.22,0.40088839080383426,11.353976927747416
399,EQUITASBNK,INE063P01018,66.95,64.00087753852698,62.31026606855773,72.88,52.52,9192556,5316815.4,1.7289590306257387,8.136663007683854
400,ESSARSHPNG,INE122M01019,30.37,28.896413310630244,27.848189404613958,36.9,21.5,453020,196252.84,2.3083487607109276,17.69647696476964
401,ESTER,INE778B01029,122.71,124.81548044105188,128.5635277751101,157.8,104.7,55290,202536.08,0.27298839791902757,22.237008871989868
402,EUREKAFORB,INE0KCE01017,492.75,509.3707812857342,515.9669662126693,558.0,461.5,197487,276253.9,0.7148749755207076,11.693548387096774
403,ETERNAL,INE758T01015,232.52,225.45903928071476,222.4002587067171,243.45,194.8,45831746,61356318.14,0.7469767970011376,4.489628260423076
404,EVEREADY,INE128A01029,323.9,310.42944575373247,313.78648258813956,339.0,272.3,92889,133613.98,0.6952041994408069,4.4542772861357
405,EVERESTIND,INE295A01018,495.05,492.5241475088879,513.4699090319593,636.6,420.0,2852,14595.34,0.19540483469381323,22.23531259817782
406,EXCELINDUS,INE369A01029,1061.9,1060.3479338981738,1042.8356655393852,1175.0,799.1,9130,21184.84,0.43096856053668564,9.625531914893608
407,EXICOM,INE777F01014,154.17,162.57606633460637,169.80422620905895,188.34,130.37,245780,522260.06,0.4706084551056805,18.142720611659772
408,EXPLEOSOL,INE201K01015,858.9,862.8455628659685,920.4105865133063,1182.95,735.35,7654,33709.66,0.22705657666081472,27.39338095439368
409,EXIDEIND,INE302A01020,351.75,369.15688070575504,366.01817389613285,388.6,328.0,7832484,2405801.3,3.2556653785165053,9.48275862068966
410,FAZE3Q,INE963C01033,473.8,454.71967459537217,417.4908557920597,539.9,317.75,17902,46374.5,0.38603111623845,12.243007964437853
411,FACT,INE188A01015,765.95,711.8812358071917,716.2837770460279,841.3,565.0,1133974,971128.18,1.1676872562795984,8.956377035540225
412,FAIRCHEMOR,INE0DNW01011,834.25,883.7197471194268,918.6220654952039,1080.0,757.45,9293,24945.98,0.3725249519161003,22.75462962962963
413,FDC,INE258B01022,421.0,419.67895129287274,421.0427354589892,462.0,366.25,88567,150216.18,0.5895969395573766,8.874458874458876
414,FCL,INE045J01026,237.69,239.67546783652088,246.20822673295896,298.5,207.0,121427,488008.7,0.24882138371713455,20.371859296482413
415,FEDERALBNK,INE171A01029,196.68,195.81161074724383,191.21288351851754,205.5,172.66,11619893,7903277.2,1.4702626146024589,4.291970802919705
416,FEDFINA,INE007N01010,88.87,89.31548249909093,89.98308259728469,95.4,80.0,1328777,365476.74,3.6357361620331843,6.844863731656186
417,FIEMIND,INE737H01014,1435.2,1436.693767843795,1412.6035542969285,1544.9,1255.1,37019,40958.56,0.9038159544671492,7.100783222215033
418,FIBERWEB,INE296C01020,38.72,40.84088265472418,42.031121604535656,48.98,37.2,61902,84015.58,0.7367919140711758,20.94732543895467
419,FILATEX,INE816B01035,42.57,41.98147212801712,42.12547063084639,49.4,34.0,538903,1504039.48,0.35830375941993226,13.825910931174084
420,FINCABLES,INE235A01022,866.55,879.2085268039544,891.3796620638162,1059.95,780.0,212871,1115644.66,0.1908053770454116,18.246143686022933
421,FINPIPE,INE183A01024,174.48,176.1700277528713,180.77482135966562,209.5,153.92,1696716,1521617.44,1.115073970235252,16.715990453460623
422,FINOPB,INE02NC01014,246.2,244.4307797840985,244.64717023155833,280.75,200.0,652821,588366.2,1.1095487810142732,12.306322350845953
423,FIRSTCRY,INE02RE01045,339.25,348.91220807750784,374.26440681249954,428.7,286.05,1468089,801437.68,1.8318192875583288,20.8654070445533
424,FLAIR,INE00Y201027,249.95,245.06373204996567,238.32729467544672,268.65,194.03,35539,142032.58,0.2502172388898378,6.960729573794897
425,FIVESTAR,INE128S01021,705.95,751.7953176019399,726.5584019285711,850.0,595.0,1318093,849904.12,1.5508725854864664,16.947058823529407
426,FLEXITUFF,INE060J01017,35.16,33.69256834788712,37.71355807486496,57.99,28.14,11,9957.38,0.0011047082666323874,39.36885669943094
427,FMGOETZE,INE529A01010,331.3,342.30924457677816,346.0718536121159,389.0,308.0,35347,83126.34,0.42522021299145374,14.832904884318761
428,FOCUS,INE593W01028,96.29,98.16697455933136,93.183031889471,112.7,63.78,174256,245567.42,0.7096055331769988,14.560780834072757
429,FOODSIN,INE976E01023,88.08,87.32212200426939,89.54556662135008,105.8,76.0,221504,278170.26,0.7962892941898245,16.748582230623818
430,FORTIS,INE061F01013,685.55,661.2223004471896,650.0588114106667,724.95,587.1,4791505,1933581.18,2.478046978094812,5.434857576384591
431,FSL,INE684F01012,340.7,339.8942448097479,339.36652489731176,369.25,270.0,1667425,3182366.54,0.5239575576985547,7.731888964116456
432,FUSION,INE139R01012,163.12,156.2651333471584,155.84656703890963,178.0,123.96,804388,875754.58,0.9185084707179036,8.35955056179775
433,GABRIEL,INE524A01029,541.5,555.1871106134755,533.1073307594356,607.8,438.0,182662,589999.16,0.30959705095173357,10.908193484698907
434,GAEL,INE036B01030,118.34,119.13464406265763,114.46661007195893,130.75,98.72,701496,1217149.02,0.5763435606266191,9.491395793499041
435,GALAPREC,INE0RE001014,818.15,847.9888951091515,882.5599513963336,1080.0,712.4,30602,77875.34,0.3929613662039871,24.245370370370374
436,GAIL,INE129A01019,189.09,183.9534674261016,177.04868328985472,197.0,150.52,11049144,14458745.52,0.7641841392613431,4.015228426395937
437,GANDHAR,INE717W01049,145.39,148.33432183091037,151.45213929289935,162.71,128.48,132049,298918.2,0.4417563065748422,10.644705303914954
438,GALLANTT,INE297H01019,436.65,430.6219488456882,389.8335304187325,494.4,295.0,86125,122844.98,0.7010868494585616,11.680825242718447
439,GANDHITUBE,INE524B01027,653.65,669.7263331082364,671.8643241778086,745.0,585.5,3236,9840.68,0.3288390639671242,12.261744966442956
440,GANECOS,INE845D01014,1444.9,1554.2079147144175,1541.0564799905665,1742.3,1244.75,72566,91689.78,0.7914295355491092,17.069391034839
441,GANESHHOUC,INE460C01014,1089.8,1086.012733212896,1111.5854378466627,1403.0,852.85,93725,147409.34,0.635814528441685,22.323592302209555
442,GANGESSECU,INE335W01016,147.2,149.28981490422777,149.94553768072615,171.72,125.0,2077,9826.62,0.21136464013058404,14.27905893314699
443,GANESHBE,INE388A01029,118.95,120.2285375964858,119.63987533178866,132.01,100.92,28049,171153.22,0.1638823973045906,9.893189909855305
444,GARFIBRES,INE276A01018,861.8,855.2193675610483,828.3199749130818,985.55,674.2,100508,88273.68,1.1385953321533668,12.55644056618132
445,GARUDA,INE0JVO01026,99.16,106.27456211810639,108.9744367748299,117.99,94.83,454907,568981.26,0.7995113933980883,15.958979574540214
446,GATEWAY,INE079J01017,59.8,62.380880756262144,64.30865935315894,73.89,56.85,1215402,1194311.96,1.0176587363321723,19.06888618216268
447,GEECEE,INE916G01016,366.55,384.6906990356105,388.2002378288539,425.8,333.95,4446,7079.02,0.628053035589672,13.914983560356974
448,GEEKAYWIRE,INE669X01024,72.05,76.59133721276586,78.76014205621827,87.53,64.0,78271,91057.44,0.8595783057375652,17.685365017708218
449,GENESYS,INE727B01026,656.1,675.6648726211158,716.6160549068363,859.0,524.0,195001,348480.76,0.5595746519836561,23.620488940628636
450,GENCON,INE854S01022,32.27,31.537288906346244,31.297494856221338,36.55,21.96,69128,286629.72,0.24117526961265567,11.709986320109424
451,GENSOL,INE06H201014,77.29,136.82774740855746,273.3830425065107,668.0,77.29,43266,649351.98,0.06662950346282151,88.42964071856288
452,GEOJITFSL,INE007B01023,74.53,75.09499675501607,76.95232460169184,84.78,60.73,456508,758062.66,0.6022035170549094,12.090115593300306
453,GEPIL,INE878A01011,230.45,247.4596057110814,253.84697484837693,279.3,205.25,228976,367786.5,0.6225785883929943,17.490153956319375
454,GENUSPOWER,INE955D01029,283.8,290.68113774837,290.40928151433747,324.3,236.85,520851,730217.52,0.7132819820592636,12.488436632747456
455,GESHIP,INE017A01032,870.05,897.8671945830504,900.8485440968115,963.0,797.5,259261,379623.04,0.6829432691967274,9.652128764278302
456,GHCL,INE539A01019,582.4,610.0197395712603,622.5907016057386,670.0,511.05,193765,163173.0,1.1874819976344126,13.074626865671647
457,GFLLIMITED,INE538A01037,53.87,55.792523498309336,58.54708787754174,68.2,48.7,68007,105186.5,0.646537340818451,21.0117302052786
458,GICHSGFIN,INE289B01019,175.23,175.68129358150455,174.56866099123266,186.69,156.01,101346,182802.36,0.5544020328840394,6.1385183994857835
459,GHCLTEXTIL,INE0PA801013,79.32,79.9679547899378,80.28698550372472,88.01,65.0,66151,163355.4,0.40495141268669416,9.873877968412694
460,GICRE,INE481Y01014,417.15,418.656236646063,410.7454914307254,453.8,351.0,3442275,822272.62,4.186294078477282,8.076245041868672
461,GILLANDERS,INE047B01011,120.75,107.58444845098704,105.64275319644806,125.0,91.62,93646,8957.5,10.454479486463857,3.4000000000000004
462,GIPCL,INE162A01010,182.35,184.9425004342258,182.44401978336214,205.5,148.1,204686,586123.94,0.3492196548054325,11.265206812652071
463,GLAND,INE068V01023,1400.0,1462.7824488855078,1511.7773281123693,1767.7,1277.8,159173,359620.56,0.44261373710112684,20.801040900605308
464,GLENMARK,INE935A01035,1381.2,1407.1105986766665,1422.9753577855201,1582.95,1275.5,694501,744320.9,0.9330666383276353,12.745190940964655
465,GLOBALVECT,INE792H01019,220.9,234.7634557434186,244.79403664575688,278.9,199.27,80635,12280.7,6.565993795141971,20.7959842237361
466,GLOBAL,INE291W01037,57.59,53.50214309783277,52.90961290388893,65.35,41.0,33941,114756.16,0.29576625777648885,11.874521805661809
467,GLOBUSSPR,INE615I01010,1048.7,1041.6685990089602,987.0495059047463,1114.45,800.0,55160,103501.34,0.5329399600043826,5.899771187581318
468,GLOSTERLTD,INE350Z01018,581.4,590.9578169990398,597.0455206753992,640.0,532.95,2152,1621.38,1.3272644290665976,9.156250000000004
469,GMBREW,INE075D01018,663.9,673.175915600601,669.4896519175484,726.6,579.95,30806,66973.42,0.45997352382482487,8.629232039636669
470,GMDCLTD,INE131A01031,304.15,299.70714929360486,287.1059470426479,336.4,226.59,559160,1413767.12,0.3955106835417137,9.586801426872771
471,GMMPFAUDLR,INE541A01023,1025.8,1066.5506607072261,1083.8752682620973,1184.9,991.1,78006,77036.68,1.0125825775461768,13.427293442484608
472,GNA,INE934S01014,314.65,327.28328563767883,330.63543443961936,386.95,271.05,65250,163105.96,0.4000466935726935,18.68458457165009
473,GMRP&UI,INE0CU601026,113.46,121.2699457349743,115.6388328304917,141.01,89.36,1548841,2926931.36,0.5291688835504499,19.537621445287567
474,GNFC,INE113A01013,486.35,496.4569434971799,504.2574854115702,577.0,449.0,311431,594425.32,0.5239194723401083,15.710571923743496
475,GOCLCORP,INE077F01035,281.65,281.90646464671937,292.06888230020104,379.5,245.0,51252,118836.6,0.43128127193137467,25.783926218708835
476,GOACARBON,INE426D01013,452.35,468.04777499812855,481.063974443438,539.1,390.0,24486,55699.06,0.4396124458832878,16.09163420515674
477,GODAVARIB,INE497S01012,170.6,168.84227256003254,178.97210273361077,216.81,145.0,10798,71145.08,0.15177437427858678,21.313592546469263
478,GMRAIRPORT,INE776C01039,87.19,84.66723225169085,79.86639373538777,90.19,67.75,21631744,15143367.68,1.4284632359926956,3.326311120966848
479,GOCOLORS,INE0BJS01011,785.9,729.6388681205158,751.4949399830707,865.0,661.0,2206903,80983.24,27.25135472475539,9.144508670520233
480,GODIGIT,INE03JT01014,285.6,294.4722229084786,294.5427355322143,324.9,264.6,1169811,1105332.44,1.058334088159034,12.09602954755308
481,GODREJIND,INE233A01035,1083.9,1120.3702144841918,1087.0625652394658,1265.0,766.0,82416,1000548.92,0.08237078502868206,14.316205533596833
482,GODREJAGRO,INE850D01014,770.25,764.9833223668229,753.2506908269585,811.25,668.0,235207,381446.58,0.6166184528381405,5.053929121725732
483,GODREJCP,INE102D01028,1260.5,1216.9840538258682,1164.3583131621992,1286.0,979.5,1344364,1465585.72,0.9172878676792784,1.9828926905132191
484,GOKUL,INE020J01029,43.98,45.38787353894018,46.86531355639388,53.3,39.51,35138,94307.82,0.37258840253120046,17.4859287054409
485,GOKEX,INE887G01027,848.55,842.1280593837325,862.4183445906363,990.4,735.0,189280,292847.16,0.6463439836671115,14.322495961227787
486,GOKULAGRO,INE314T01025,235.23,244.97715931448565,254.352855806754,309.0,193.1,57585,180272.16,0.3194336829380643,23.873786407766996
487,GOLDENTOBC,INE973A01010,36.53,35.18393066262972,36.253021243945774,43.0,32.12,975,7796.62,0.1250541901490646,15.046511627906975
488,GOLDIAM,INE025B01025,366.75,370.1312273868201,387.90022382934626,450.0,251.35,910790,1701350.92,0.5353334161067724,18.5
489,GOODLUCK,INE127I01024,722.4,746.3922617805016,741.7053765874364,815.85,567.75,87809,176177.14,0.49841313123825254,11.45431145431146
490,GOLDTECH,INE805A01014,64.77,60.11719834376729,59.82533028324278,76.49,46.55,103120,115888.24,0.8898228154987943,15.32226434828082
491,GOPAL,INE0L9R01028,276.25,283.0376201896322,286.69361956887565,322.0,255.9,44662,123337.96,0.36211074027817547,14.208074534161492
492,GPPL,INE517F01014,132.99,140.60032307088497,141.4881139759097,155.7,122.5,1283178,1739920.56,0.7374922910273558,14.585741811175327
493,GPIL,INE177H01039,182.34,190.41402013609198,185.6214758544543,209.75,145.75,1116794,2140844.12,0.5216605868530027,13.06793802145411
494,GPTHEALTH,INE486R01017,154.87,159.2777857843369,155.78308912320068,176.75,126.1,63903,152580.26,0.4188156449595773,12.379066478076377
495,GPTINFRA,INE390G01014,125.16,127.93536880676076,120.50671128848238,144.51,84.48,111926,319430.6,0.35039222917278434,13.390076811293333
496,GRAPHITE,INE371A01025,452.2,467.36667038110437,463.2385838302203,525.0,365.75,439816,1336754.04,0.32901789472055754,13.866666666666669
497,GRANULES,INE101D01020,455.8,468.6862800386387,488.9388391396297,560.65,422.0,1020918,1280997.92,0.7969708491017691,18.70150717916703
498,GREENPANEL,INE08ZM01014,232.36,236.15002094209845,254.48463087313027,348.5,202.81,273622,173609.04,1.5760815220221251,33.325681492109034
499,GREAVESCOT,INE224A01026,199.57,200.33188271039907,215.72998916719482,289.0,168.25,25433861,3501679.84,7.263331361555887,30.944636678200695
500,GREENLAM,INE544R01021,206.98,224.7050043096676,238.511485464503,297.7,201.25,229161,68578.88,3.3415681329295546,30.47363117232113
501,GREENPLY,INE461C01038,290.4,290.2669600888058,285.441694223405,310.0,245.1,161770,145030.26,1.1154223952987465,6.322580645161298
502,GRMOVER,INE192H01020,315.7,308.27883647783136,280.81120027407087,341.0,197.45,503439,540429.84,0.931552928313507,7.4193548387096815
503,GRINFRA,INE201P01022,1038.1,1068.7407215382912,1079.1839079019703,1132.9,901.0,30926,228543.84,0.13531758283224785,8.3679053755848
504,GSFC,INE026A01025,186.11,186.66542822540475,185.45001054861376,200.59,158.3,853887,1416501.14,0.6028141989352723,7.218704820778697
505,GSPL,INE246F01010,325.0,310.9446412466464,306.1916363254619,334.6,261.45,737190,1033121.36,0.7135560530855736,2.8690974297668923
506,GSLSU,INE0JSX01015,109.69,115.96037400228983,117.38984531286323,134.65,91.86,65024,222778.06,0.29187793447882615,18.53694764203491
507,GSS,INE871H01011,37.6,38.98883040436457,41.51542572703455,59.9,32.37,299740,231793.88,1.293131639195996,37.22871452420701
508,GTECJAINX,INE586X01012,25.6,29.333958543912964,30.797976356172725,37.0,25.32,25055,10531.34,2.3790894606004556,30.810810810810807
509,GTPL,INE869I01013,105.0,109.48224982587196,110.94285362907596,120.0,98.1,30959,132438.8,0.23376080121535384,12.5
510,GUFICBIO,INE742B01025,367.7,354.1253688485244,363.4367300051759,420.0,298.8,34907,65069.14,0.536460140705717,12.452380952380954
511,GUJALKALI,INE186A01019,605.7,617.422436292487,612.5188770807489,698.4,483.6,41463,130918.32,0.3167089220209975,13.273195876288652
512,GUJGASLTD,INE844O01030,453.5,436.5326801792232,427.5625347938668,473.0,360.25,653302,684675.26,0.9541778974166527,4.12262156448203
513,GUJRAFFIA,INE610B01024,37.51,39.11857584875795,44.15472117593951,51.74,34.87,1132,3453.24,0.32780808747726775,27.502899110939317
514,GULFPETRO,INE586G01017,38.97,39.99558407661284,41.424737680396674,48.64,35.56,103992,208081.14,0.49976658144029773,19.880756578947373
515,GULFOILLUB,INE635Q01029,1189.9,1177.4547567019665,1154.358240323026,1310.45,911.0,97224,118849.48,0.8180431247995363,9.19913006982334
516,GUJAPOLLO,INE826C01016,341.75,348.87962242493523,334.2019946844412,394.9,246.55,6081,21300.4,0.28548759647706146,13.459103570524178
517,GULPOLY,INE255D01024,188.56,192.80257993508724,185.64965875053443,217.99,141.0,55038,231254.94,0.23799707802998715,13.500619294463052
518,HAPPYFORGE,INE330T01021,769.9,794.4195147536163,828.3387260716382,964.3,724.1,27752,49290.64,0.5630277878315234,20.15970133775796
519,HAPPSTMNDS,INE419U01012,571.85,591.2486492351456,624.6160611639846,735.0,519.3,216415,647311.06,0.33432921723908127,22.197278911564624
520,HARIOMPIPE,INE00EV01017,368.9,379.12788116024365,386.25644556393627,414.45,320.35,70436,186151.5,0.3783799754501038,10.990469296658224
521,HARRMALAYA,INE544A01019,196.96,199.83307695223,206.71029659570573,232.7,170.53,8106,31408.8,0.2580805379384122,15.358831113021049
522,HARSHA,INE0JUS01029,375.7,385.73058086598115,391.00327498087904,422.55,329.95,44498,70150.42,0.634322645537974,11.087445272748791
523,HATSUN,INE473B01035,905.75,929.7059585130223,934.2770983623361,1083.6,862.0,39402,80162.52,0.49152646398840755,16.412882982650416
524,HBLENGINE,INE292B01021,481.95,499.7467000886055,495.1601545172459,543.8,405.0,992040,3334113.54,0.29754235664091994,11.373666789260753
525,HBSL,INE550B01022,86.95,83.43222429308295,84.10394012710525,102.8,70.0,25759,10030.72,2.568011069992982,15.418287937743186
526,HCC,INE549A01026,25.67,26.451602378188696,26.781266041418064,29.38,21.97,14094217,26016639.66,0.5417385636343168,12.627637848876777
527,HCG,INE075I01017,562.45,553.212219167247,534.0589338179909,601.95,472.55,351748,305135.52,1.1527599277855294,6.562006811196943
528,GROBTEA,INE646C01018,900.1,903.7667599183205,914.4731269847297,1013.85,747.0,435,347.16,1.253024541997926,11.219608423336785
529,HDFCLIFE,INE795G01014,743.7,701.0639759160498,672.8719582308458,749.8,600.35,8732964,2833967.0,3.0815334123509555,0.8135502800746744
530,HECPROJECT,INE558R01013,100.21,103.36822059512104,103.14471770095906,117.98,82.01,2516,5513.54,0.4563311411543219,15.061874894049849
531,HEIDELBERG,INE578A01017,191.69,196.43947281577982,198.51958613007022,209.97,182.42,99200,131059.98,0.7569053497490233,8.706005619850457
532,HEG,INE545A01024,466.35,465.67984578237514,441.80997878851804,516.0,331.25,748416,2065292.92,0.36237765246394205,9.62209302325581
533,HEMIPROP,INE0AJG01018,129.52,129.93119536471247,130.84095950500398,142.66,111.03,354118,762923.82,0.46415905588057277,9.210710780877601
534,HERCULES,INE688E01024,151.33,158.69764707546335,162.97022299597322,189.9,125.51,18154,43056.94,0.42162773295083206,20.310689836756183
535,HERITGFOOD,INE978A01027,390.5,405.5948212719841,403.7429086713167,429.15,352.1,287948,334466.38,0.8609176204795232,9.00617499708726
536,HERANBA,INE694N01015,254.61,254.2687242648896,260.1899644398322,325.05,208.0,6222,77980.08,0.07978960780753239,21.670512228887862
537,HEUBACHIND,INE492A01029,587.7,586.6249050704666,579.0716926205259,594.8,550.5,18056,27012.92,0.6684208889672054,1.1936785474108793
538,HEXATRADEX,INE750M01017,191.44,196.72887612009862,200.60537637217172,231.3,179.0,7772,11657.16,0.6667147058117071,17.233030696065722
539,HGINFRA,INE926X01010,1074.0,1089.7229812392131,1107.1081825244723,1205.0,928.55,78383,101154.14,0.7748867223822969,10.87136929460581
540,HFCL,INE548A01028,79.39,81.7588823658372,83.77201967303577,94.1,71.6,6497118,13159645.58,0.49371527223151856,15.632306057385753
541,HGS,INE170I01016,489.5,494.7954247743384,516.3688500679616,622.8,437.0,12933,43105.12,0.3000339634827603,21.403339755940905
542,HILTON,INE788H01017,62.8,67.95412165233026,73.55410443038241,95.5,62.4,71561,181142.68,0.3950532254463719,34.24083769633508
543,HIKAL,INE475B01022,387.75,404.588328869855,392.1560989275186,456.75,326.35,225893,351731.44,0.6422314706925261,15.10673234811166
544,HIMATSEIDE,INE049A01027,140.48,146.1641505132254,146.57983890862786,159.9,107.68,373662,1089981.4,0.3428150241829815,12.145090681676058
545,HINDALCO,INE038A01020,624.65,627.1126187610457,630.124058108278,715.0,546.45,5905186,6276038.16,0.9409098302869465,12.63636363636364
546,HINDCOMPOS,INE310C01029,409.65,434.9851247354554,440.40905023720615,483.05,401.75,11241,6016.94,1.8682253770188835,15.19511437739365
547,HINDCOPPER,INE531E01026,213.28,215.88198282112216,218.12141680409633,240.75,183.82,2774910,5515658.62,0.5030967634469009,11.410176531671858
548,HINDCON,INE642Y01029,34.12,35.04194925572275,35.48316140807672,41.0,30.02,33444,41290.16,0.8099750642768155,16.780487804878057
549,HINDOILEXP,INE345A01011,183.2,181.40779859728798,181.07287360863234,213.78,147.84,868042,867381.44,1.0007615565304233,14.304425109926097
550,HINDPETRO,INE094A01015,378.7,377.2632972441633,361.7178810304404,402.75,287.55,9150558,6029673.9,1.5175875431671353,5.97144630664184
551,HINDZINC,INE267A01025,439.2,440.9739761951122,436.162107128434,477.8,378.15,1278436,1985149.38,0.6439998988892212,8.0786940142319
552,HINDWAREAP,INE05AN01011,199.39,199.5958838473997,205.00127183115845,240.79,177.42,105159,333082.66,0.3157144235608062,17.193405041737616
553,HITECH,INE106T01025,90.28,98.32913876139631,105.62351410690445,123.79,88.5,880135,1429915.02,0.6155155989619578,27.07003796752565
554,HIRECT,INE835D01023,873.95,937.3062953813178,967.5005985567635,1094.85,799.0,25846,29977.6,0.8621770922288643,20.176279855687984
555,HISARMETAL,INE598C01011,192.24,199.25941077338888,198.16988401523824,221.92,164.11,3519,8734.66,0.40287773078746053,13.374188896899774
556,HITECHGEAR,INE127B01011,574.3,605.0099529932359,623.5844123380726,706.0,515.0,1670,7304.06,0.22863996188421232,18.654390934844198
557,HLEGLAS,INE461D01028,272.0,270.6161791990039,271.65197830828515,295.65,217.83,137202,90265.86,1.5199766556259475,7.999323524437672
558,HITECHCORP,INE120D01012,179.74,186.77661361656246,190.17558770908545,219.99,160.0,3780,38040.92,0.09936668198350619,18.296286194827037
559,HMT,INE262A01018,49.47,50.10783683915282,52.236368910848384,61.4,45.5,16360,14211.32,1.1511949628887395,19.4299674267101
560,HMAAGRO,INE0ECP01024,32.09,32.390356242707355,32.75315996191674,35.49,27.75,239273,364066.92,0.6572225787500826,9.580163426317267
561,HMVL,INE871K01015,83.83,84.34917292443492,83.56219344396389,91.5,73.2,19354,57728.18,0.33526087259290005,8.382513661202188
562,HNDFDS,INE254N01026,535.15,555.6244295854176,546.2546404360592,608.0,421.5,75347,87520.24,0.8609094307785261,11.981907894736846
563,HOMEFIRST,INE481N01025,1229.3,1162.430803882707,1084.9229596731298,1319.8,878.4,602123,680894.04,0.884312337349876,6.857099560539476
564,HONASA,INE0J5401028,246.44,233.89726587811907,230.1966843663032,256.0,197.51,1217547,1102316.3,1.1045350594924523,3.734375000000001
565,HOVS,INE596H01014,50.5,49.71309810015701,51.17169229216694,65.79,41.5,6131,24612.24,0.24910369799741916,23.240614075087407
566,HPAL,INE0GSL01024,52.53,53.32935435760029,54.604412293386254,63.95,42.65,50121,278865.22,0.17973198665649306,17.85770132916341
567,HPIL,INE05X901010,122.52,125.65951345214005,128.2546488387565,170.49,112.35,11302,21694.06,0.5209721001970125,28.136547598099604
568,HPL,INE495S01016,403.25,424.1441909518988,425.5969400157783,459.9,339.0,181534,238991.22,0.7595843897528956,12.317895194607518
569,HSCL,INE019C01026,437.7,448.8679682030262,451.22747438484413,503.85,365.35,859662,1209277.24,0.7108890927278182,13.128907412920517
570,HUBTOWN,INE703H01016,179.81,198.5230126595716,208.35860300143597,261.6,172.51,346355,316504.58,1.0943127584441275,31.26529051987768
571,HUHTAMAKI,INE275B01026,190.56,194.41080747699806,198.60256108872494,222.45,170.56,56940,169682.56,0.3355677802126512,14.335805799055962
572,HINDMOTORS,INE253A01025,25.15,25.108278052514937,24.66962282051539,29.85,20.55,1402873,1914083.96,0.7329213500122534,15.745393634840879
573,HUDCO,INE031A01017,223.46,218.4256769541544,208.46848216692234,243.46,158.85,3571609,8105412.14,0.440644958986626,8.214901831923108
574,ICICIBANK,INE090A01021,1427.0,1375.8621094758887,1324.8160001093067,1438.3,1200.1,14192027,12415964.22,1.1430467057193243,0.7856497253702256
575,ICDSLTD,INE613B01010,40.57,42.26602764380071,44.12947171992331,49.66,37.13,500,2827.16,0.1768559260883714,18.30447039871123
576,ICEMAKE,INE520Y01019,959.15,943.501064007929,864.4458885282762,1088.75,575.15,84814,81835.44,1.0363969448933128,11.903559127439726
577,ICICIPRULI,INE726G01019,614.35,588.626703394338,584.0031883617492,621.9,525.8,1238587,1561465.9,0.7932206524650971,1.2140215468724802
578,ICIL,INE483B01026,304.6,291.81811482026325,288.11440545725117,355.5,213.55,559138,716522.98,0.7803490126722803,14.317862165963424
579,IDBI,INE008A01015,79.83,80.52631367335744,77.75615032400151,88.12,66.5,7386949,6182309.58,1.1948526524613152,9.407625964593743
580,IDEAFORGE,INE349Y01013,377.4,367.3426536019189,384.5225884325776,417.45,304.2,320652,347576.9,0.922535415903646,9.593963348904063
581,IDFCFIRSTB,INE092T01019,64.89,63.21111686191821,60.94763768498994,69.08,52.46,44736979,41917139.28,1.0672717596772028,6.065431383902718
582,IEX,INE022Q01020,190.35,185.01074432541182,177.1309449926428,201.35,151.0,5244268,6270451.44,0.8363461626616152,5.4631239135833125
583,IFBAGRO,INE076C01018,470.25,479.8486567572577,490.4041991809606,560.9,440.0,1930,3838.68,0.5027769962591307,16.16152611873774
584,IFBIND,INE559A01017,1292.4,1303.9058388386616,1309.6904310821606,1415.0,1060.0,19599,83400.42,0.2349988165527224,8.664310954063598
585,IFGLEXPOR,INE133Y01011,347.7,361.3420440851425,366.2077775718634,400.0,326.05,5759,15201.76,0.3788377135279073,13.075000000000003
586,IGARASHI,INE188B01013,446.1,475.61525077418304,511.08118749999016,630.25,401.05,48943,54497.04,0.8980854740000558,29.218564061880205
587,IFCI,INE039A01010,42.27,43.711442157680175,44.77714286831406,49.89,36.2,3778913,7898314.32,0.47844550709144223,15.273601924233308
588,IGIL,INE0Q9301021,347.15,356.91885349321376,382.46313618559924,478.0,282.0,937588,2335041.48,0.4015294837503272,27.374476987447704
589,IGL,INE203G01027,192.59,186.51344785424635,189.95835713957052,209.65,172.0,22318492,4572902.26,4.880596770069606,8.137371810159792
590,IGPL,INE204A01010,408.35,432.8448082801288,437.64998124062186,482.65,386.0,26689,49608.74,0.5379898783964278,15.394177975758822
