,symbol,isin,close,ema_20,ema_50,period_high,period_low,volume,avg_volume_50d,volume_ratio,price_drop_pct
249,CENTENKA,INE485A01015,513.75,524.8866382718109,524.0987043097164,617.95,439.95,18247,47325.9,0.38556054929753053,16.86220568007121
250,CENTURYPLY,INE348B01021,698.05,717.1795912005291,726.6229543620499,835.85,650.0,69754,306826.78,0.22733999946158545,16.486211640844655
251,CESC,INE486A01021,159.01,155.2749305295388,150.0310357262953,163.5,119.0,5781451,4134776.22,1.398250036370771,2.746177370030587
252,CGCL,INE180C01042,161.56,164.33844691018646,166.36283000638096,231.35,151.09,473814,5847559.66,0.08102764700993234,30.166414523449316
253,CEWATER,INE037Z01029,504.35,523.0914501604252,535.0869767536979,662.95,415.0,65138,179923.4,0.362031842439616,23.92337280337884
254,CGPOWER,INE067A01029,626.8,621.5078662984052,615.0328506159165,669.8,517.7,3427523,3423385.02,1.0012087392962887,6.41982681397432
255,CHEMBOND,INE995D01025,520.6,522.115872283642,532.418773663971,608.0,455.0,12724,14202.36,0.8959074407352017,14.374999999999996
256,CHALET,INE427F01016,791.55,816.3934236401915,805.803681899597,883.3,634.05,101059,272235.98,0.37121838193467305,10.387184422053664
257,CHAMBLFERT,INE085A01013,692.65,659.7276214123971,611.4772373365494,707.55,506.3,2414489,2217953.52,1.08861118063466,2.1058582432336905
258,CHEMCON,INE03YM01018,191.32,191.13155249573504,191.58679088119987,231.5,160.0,31017,54886.52,0.5651114335541769,17.356371490280782
259,CHENNPETRO,INE178A01016,612.3,613.8430021009092,587.887171736235,664.5,433.1,885486,2630313.76,0.3366465299561829,7.8555304740406395
260,CHEMFAB,INE783X01023,805.5,806.6683502260827,818.5103387068125,944.0,650.05,3772,10306.24,0.36599186512248894,14.671610169491526
261,CHEMPLASTS,INE488A01050,410.65,432.41131741672643,436.14274904495926,491.9,379.0,34238,97335.74,0.3517515765534838,16.517584874974588
262,CHEVIOT,INE974B01016,1046.1,1052.363852697223,1070.5601207351458,1207.0,974.75,589,3792.02,0.1553261849884758,13.33057166528584
263,CHOICEIN,INE102B01014,610.2,563.433417250384,530.9978656945535,638.0,438.45,810746,599126.34,1.3532137478716093,4.357366771159867
264,CIEINDIA,INE536H01010,405.95,407.40234871624875,411.7169393335676,449.25,356.75,372577,214465.84,1.7372323722976115,9.638286032276017
265,CHOLAFIN,INE121A01024,1492.2,1518.3526437472235,1466.0127485587725,1682.0,1302.0,2525455,2023680.46,1.2479514675948395,11.284185493460164
266,CIGNITITEC,INE675C01017,1346.6,1316.5525970450333,1357.308273991712,1487.8,1033.25,38706,127906.14,0.30261252509066416,9.490522919747281
267,CINELINE,INE704H01022,87.44,91.75412402225656,92.51458713409609,104.99,73.64,5444,35959.78,0.15139136001388218,16.715877702638345
268,CLEDUCATE,INE201M01029,84.6,86.68965756715107,87.95513130839015,101.08,67.5,20815,200278.3,0.10393038087501243,16.303917688959242
269,CLSEL,INE419D01026,311.35,320.04378299726903,316.52345395399385,345.0,259.95,39698,68743.78,0.5774777005279605,9.753623188405792
270,CLEAN,INE227W01023,1174.8,1196.190469226035,1232.4166384368823,1381.95,1106.45,118891,108670.48,1.0940505646059537,14.989688483664393
271,CMSINFO,INE925R01014,441.55,461.60309583769543,457.24788827569745,499.45,416.05,304499,450114.12,0.6764928858485932,11.592752027229949
272,COALINDIA,INE522F01014,385.3,392.4213500384287,386.55726648746526,411.8,349.25,4559122,6478241.82,0.7037591566781,6.435162700339971
273,COASTCORP,INE377E01024,36.99,38.5571897987701,40.324166179650426,47.9,33.61,25547,124398.38,0.20536441069409425,22.776617954070975
274,COMSYN,INE073V01015,88.86,83.12384903975459,80.11376161433773,92.45,65.0,42125,27102.3,1.5542961298487583,3.8831800973499226
275,CONFIPET,INE552D01024,51.68,53.349568776920805,54.85987050857252,66.58,46.05,464645,748570.48,0.6207097560138893,22.379092820666866
276,CONCOR,INE111A01025,673.7,690.3935347532517,692.271209145561,731.15,601.25,1678591,1142260.24,1.4695346482514353,7.85748478424399
277,CONSOFINVT,INE025A01027,187.32,188.71502183879036,186.6105670962372,207.0,160.0,3559,33136.16,0.1074053239723613,9.507246376811597
278,CORALFINAC,INE558D01021,39.61,40.12610214644325,40.54289483374555,49.79,33.7,75388,37979.56,1.9849624376901682,20.445872665193814
279,CONTROLPR,INE663B01015,623.5,636.3952118487598,640.16606214012,681.85,547.0,7019,26145.68,0.2684573512717971,8.557600645303221
280,CORDSCABLE,INE792I01017,167.79,170.3150588879609,169.78973345851708,198.7,147.71,21053,58082.36,0.3624680539840323,15.556114745848012
281,COSMOFIRST,INE757A01017,588.95,598.6781219056743,634.2801844026974,689.7,525.7,42028,107891.98,0.3895377580428128,14.607800492967957
282,CPCAP,INE521J01018,388.2,398.71870336688437,383.48324212443094,438.0,298.0,116498,28118.54,4.143102735775043,11.369863013698634
283,CREST,INE559D01011,392.6,383.71511542231656,384.72836579779414,419.0,319.1,7036,27359.28,0.2571705103350673,6.3007159904534555
284,CREATIVE,INE985W01018,727.3,739.6612396603008,753.5832313262125,874.4,647.85,10558,32962.82,0.3203002655719383,16.822964318389754
285,CREDITACC,INE741K01010,1088.55,1072.597180712251,1019.181652030361,1179.2,847.8,406379,2168521.58,0.18739910349428018,7.6874151967435616
286,CROMPTON,INE299U01018,337.3,339.5337213235754,342.67794840886563,367.5,301.0,3408678,2772455.24,1.2294799031633779,8.217687074829929
287,CSLFINANCE,INE718F01018,318.3,296.1464532728542,281.6168166807212,344.4,227.45,6606,63717.22,0.10367683963612977,7.578397212543544
288,CSBBANK,INE679A01013,353.25,339.0307972295069,319.65481844977603,369.0,272.75,1596551,396245.22,4.029199393244416,4.2682926829268295
289,CROWN,INE491V01019,162.54,170.46571374375213,174.1811112683854,205.97,148.99,12150,23878.84,0.5088186863348471,21.08559498956159
290,CTE,INE627H01017,41.4,42.65899798127586,50.5513279339629,76.79,34.11,1501,47534.76,0.03157689236255742,46.08673004297435
291,CUBEXTUB,INE144D01012,73.9,81.22097772629076,88.11257106380697,112.52,73.7,42196,44377.52,0.9508417775486327,34.322787060078205
292,CUB,INE491A01021,176.56,171.86220688465568,166.00686726637247,185.28,142.91,1695485,2755231.54,0.6153693348037095,4.706390328151985
293,CUPID,INE509F01029,78.32,70.65032037500832,68.4835303294999,79.15,55.75,1194720,1694953.08,0.7048690692960067,1.048641819330401
294,CYIENT,INE136B01020,1187.7,1209.3343369835675,1279.984394814792,1537.05,1084.05,380845,721712.5,0.5276962779500147,22.728603493705467
295,CYBERTECH,INE214A01019,143.8,149.0529454923021,158.11126388862613,189.93,125.12,8813,71522.88,0.12321931107919591,24.287895540462273
296,DABUR,INE016A01026,487.75,483.769733705812,492.20599990517013,528.8,433.3,2195362,2268729.18,0.9676615522704212,7.762859304084713
297,CYIENTDLM,INE055S01018,447.25,454.92691765671026,454.7336414449341,540.0,378.6,305511,437314.96,0.6986063316928376,17.175925925925924
298,DALMIASUG,INE495A01022,376.25,384.1356287447864,366.03980458121123,422.8,291.0,51373,103385.46,0.49690739877735224,11.009933774834439
299,DAMODARIND,INE497D01022,31.37,32.7039003584163,33.13560844152383,37.39,28.0,15036,17605.78,0.8540377080708722,16.10056164749933
300,DAMCAPITAL,INE284H01025,212.87,221.57079788608874,235.07542871453322,271.95,195.55,560123,1343114.4,0.4170329794692098,21.72458172458172
301,DATAMATICS,INE365B01017,591.55,605.1859704871589,607.7015440534431,673.05,522.0,73245,124355.94,0.5889947838438598,12.109055790803062
302,DBCORP,INE950I01011,243.8,241.39157299787425,238.54922350359035,261.79,189.05,74216,288824.22,0.2569590597353643,6.871920241414878
303,DBEIL,INE0OPA01019,137.5,142.37787528183568,146.16393648325774,162.78,129.05,40450,139500.16,0.28996382513109664,15.530163410738421
304,DBL,INE917M01012,422.55,448.05491500754187,444.56725858315394,489.0,376.0,199874,239506.48,0.8345243936614992,13.58895705521472
305,DBREALTY,INE879I01012,174.14,173.1214084285444,160.15032179423952,198.5,115.11,1616296,4530801.04,0.3567351525106916,12.27204030226701
306,DBOL,INE0I3401014,70.37,69.91843942205632,72.01099885303134,75.89,57.34,16733,135821.42,0.1231985352531287,7.273685597575433
307,DBSTOCKBRO,INE921B01025,27.48,28.438092199844714,31.70706023939946,43.88,26.0,9006,112122.62,0.08032277519023369,37.3746581586144
308,DCBBANK,INE503A01015,135.16,124.94272991823131,118.2769381203002,140.25,101.41,2309647,1718623.74,1.343893341075342,3.629233511586455
309,DCAL,INE385W01011,193.07,207.88028861341553,215.3733151522634,239.9,178.01,310498,362208.26,0.8572361105182968,19.52063359733223
310,DCI,INE0A1101019,264.05,273.91973082903365,278.56831571279423,314.7,237.5,6592,12904.36,0.5108350975949214,16.094693358754363
311,DCM,INE498A01018,99.32,102.66331413364225,101.49744473733494,112.27,92.57,28801,33822.94,0.8515226647949586,11.534693150440905
312,DCMNVL,INE08KP01019,167.9,171.8019348226989,170.9061314050655,195.0,145.0,2513,33747.6,0.07446455451646933,13.897435897435894
313,DCMSHRIRAM,INE499A01024,999.9,1043.0102125585097,1046.291777261,1233.3,902.6,77368,79074.14,0.9784235402370485,18.924835806373146
314,DCMSRIND,INE843D01027,179.03,174.6557661873285,169.47633053398832,187.1,142.11,155235,135002.46,1.1498679357398378,4.313201496525918
315,DDEVPLSTIK,INE0HR601026,254.7,270.09966381810824,262.4826817244031,307.45,212.55,51272,180017.94,0.28481605777735264,17.157261343307855
316,DCXINDIA,INE0KL801015,283.85,262.81883027231265,263.31896192734695,302.2,200.1,1183572,820196.68,1.443034370731664,6.072137657180663
317,DCW,INE500A01029,79.15,81.59576798902896,79.67880487834316,90.36,68.1,762429,1309062.58,0.5824236454761391,12.405931828242577
318,DEEDEV,INE841L01016,223.83,234.8851481103509,239.22942517964617,270.5,167.0,55844,181995.6,0.3068425830075013,17.253234750462102
319,DEEPAKFERT,INE501A01019,1279.9,1238.0372094856716,1173.0465347028721,1348.9,888.9,253846,527042.9,0.48164200675125307,5.115279116316999
320,DEEPINDS,INE0FHS01024,443.15,471.5494243900975,483.69820133045636,527.4,381.0,93547,193623.46,0.4831387684116377,15.974592339780052
321,DELPHIFX,INE726L01019,137.2,135.7794791981969,142.05102279811436,179.66,109.16,85,9173.3,0.009266022042231259,23.63353000111322
322,DELHIVERY,INE148O01028,305.55,283.38078751709656,278.63206633385676,312.5,236.53,2052252,4696802.48,0.4369466267186948,2.2239999999999966
323,DELTACORP,INE124G01033,92.58,88.52514705218586,90.44716593061706,103.5,76.66,4081272,1967903.52,2.0739187457726587,10.55072463768116
324,DELTAMAGNT,INE393A01011,59.45,61.854641999662526,66.89946807180826,88.69,55.25,633,10092.3,0.06272108439107042,32.968767617544245
325,DEN,INE947J01015,32.47,32.79465007029567,33.358633406535006,36.29,28.14,367465,1154836.96,0.3181964318149291,10.526315789473685
326,DENTA,INE0R4L01018,287.0,300.14269842599475,304.8294214178626,377.7,251.25,108732,547202.22,0.1987053341998503,24.01376754037596
327,DEVIT,INE060X01026,102.75,110.64716727292526,118.98925935345854,136.99,100.5,41455,99980.58,0.4146305212472262,24.994525147821015
328,DENORA,INE244A01016,771.5,784.9818418704326,804.7471802890391,877.0,676.0,26238,18205.64,1.441201737483549,12.029646522234891
329,DEVYANI,INE872J01023,178.65,166.96234107609698,164.70988972940415,182.45,134.0,2663981,2526557.84,1.0543914561639325,2.082762400657705
330,DHAMPURSUG,INE041A01016,127.29,127.56214565744743,128.41926090587026,141.9,110.0,145048,321244.42,0.4515191267758052,10.29598308668076
331,DGCONTENT,INE03JI01017,36.68,39.56382946466919,43.323501476118686,54.84,35.3,4793,16143.4,0.2969015201258719,33.11451495258936
332,DHANBANK,INE680A01011,28.16,28.645873307676784,27.292019090220073,31.49,22.06,464422,1066934.5,0.43528632732374856,10.574785646236897
333,DHANI,INE274G01010,57.11,59.91506773404105,63.183540660428925,70.89,49.85,1999504,3318703.26,0.6024955662953729,19.438566793623927
334,DHANUKA,INE435G01025,1304.3,1314.4455761400086,1307.7940747026223,1477.25,1092.05,35103,64923.72,0.5406806634000639,11.707564731765107
