symbol,isin
ITC,INE154A01025
ITI,INE248A01017
INDGN,INE065X01017
INDIACEM,INE383A01012
INDIAMART,INE933S01016
INDIANB,INE562A01011
IEX,INE022Q01020
INDHOTEL,INE053A01029
IOC,INE242A01010
IOB,INE565A01014
IRCTC,INE335Y01020
IRFC,INE053F01010
IREDA,INE202E01016
IGL,INE203G01027
INDUSTOWER,INE121J01017
INDUSINDBK,INE095A01012
NAUKRI,INE663F01024
INFY,INE009A01021
INOXWIND,INE066P01011
INTELLECT,INE306R01017
INDIGO,INE646L01027
IGIL,INE0Q9301021
IKS,INE115Q01022
IPCALAB,INE571A01038
JBCHEPHARM,INE572A01036
JKCEMENT,INE823G01014
JBMA,INE927D01051
JKTYRE,INE573A01042
JMFINANCIL,INE780C01023
JSWENERGY,INE121E01018
JSWHL,INE824G01012
JSWINFRA,INE880J01026
JSWSTEEL,INE019A01038
JPPOWER,INE351F01018
J&KBANK,INE168A01041
JINDALSAW,INE324A01032
JSL,INE220G01021
JINDALSTEL,INE749A01030
JIOFIN,INE758E01017
JUBLFOOD,INE797F01020
JUBLINGREA,INE0BY001018
JUBLPHARMA,INE700A01033
JWL,INE209L01016
JUSTDIAL,INE599M01018
JYOTHYLAB,INE668F01031
JYOTICNC,INE980O01024
KPRMILL,INE930H01031
KEI,INE878B01027
KNRCON,INE634I01029
KPITTECH,INE04I401011
KAJARIACER,INE217B01036
KPIL,INE220B01022
KALYANKJIL,INE303R01014
KANSAINER,INE531A01024
KARURVYSYA,INE036D01028
KAYNES,INE918Z01012
KEC,INE389H01022
KFINTECH,INE138Y01010
KIRLOSBROS,INE732A01036
KIRLOSENG,INE146L01010
KOTAKBANK,INE237A01028
KIMS,INE967H01025
LTF,INE498L01015
LTTS,INE010V01017
LICHSGFIN,INE115A01026
LTFOODS,INE818H01020
LTIM,INE214T01019
LT,INE018A01030
LATENTVIEW,INE0I7C01011
LAURUSLABS,INE947Q01028
LEMONTREE,INE970X01018
LICI,INE0J1Y01017
LINDEINDIA,INE473A01011
LLOYDSME,INE281B01032
LUPIN,INE326A01037
MMTC,INE123F01029
MRF,INE883A01011
LODHA,INE670K01029
MGL,INE002S01010
MAHSEAMLES,INE271B01025
M&MFIN,INE774D01024
M&M,INE101A01026
MANAPPURAM,INE522D01027
MRPL,INE103A01014
MANKIND,INE634S01028
MARICO,INE196A01026
MARUTI,INE585B01010
MASTEK,INE759A01021
MFSL,INE180A01020
MAXHEALTH,INE027H01010
MAZDOCK,INE249Z01020
METROPOLIS,INE112L01020
MINDACORP,INE842C01021
MSUMI,INE0FS801015
MOTILALOFS,INE338I01027
MPHASIS,INE356A01018
MCX,INE745G01035
MUTHOOTFIN,INE414G01012
NATCOPHARM,INE987B01026
NBCC,INE095N01031
NCC,INE868B01028
NHPC,INE848E01016
NLCINDIA,INE589A01014
NMDC,INE584A01023
